id,type,yr,Value,StdDev
12-CAAL-old-growth-SD,ssb,1952,11710.1,963.282
12-CAAL-old-growth-SD,ssb,1953,11810.9,954.441
12-CAAL-old-growth-SD,ssb,1954,10807.4,947.442
12-CAAL-old-growth-SD,ssb,1955,5496.6,1026.51
12-CAAL-old-growth-SD,ssb,1956,4568.74,893.573
12-CAAL-old-growth-SD,ssb,1957,4412.35,817.209
12-CAAL-old-growth-SD,ssb,1958,4388.24,788.985
12-CAAL-old-growth-SD,ssb,1959,3484.99,735.561
12-CAAL-old-growth-SD,ssb,1960,3271.42,704.22
12-CAAL-old-growth-SD,ssb,1961,3153.89,679.267
12-CAAL-old-growth-SD,ssb,1962,2245.07,606.159
12-CAAL-old-growth-SD,ssb,1963,1919.58,535.216
12-CAAL-old-growth-SD,ssb,1964,1572.3,477.433
12-CAAL-old-growth-SD,ssb,1965,1976.22,523.508
12-CAAL-old-growth-SD,ssb,1966,2019.68,555.134
12-CAAL-old-growth-SD,ssb,1967,1714.17,566.861
12-CAAL-old-growth-SD,ssb,1968,2152.04,597.267
12-CAAL-old-growth-SD,ssb,1969,2669.43,641.087
12-CAAL-old-growth-SD,ssb,1970,3087.9,671.895
12-CAAL-old-growth-SD,ssb,1971,2377.75,594.477
12-CAAL-old-growth-SD,ssb,1972,1712.79,478.752
12-CAAL-old-growth-SD,ssb,1973,1523.35,406.605
12-CAAL-old-growth-SD,ssb,1974,1463.32,395.042
12-CAAL-old-growth-SD,ssb,1975,1569.55,412.026
12-CAAL-old-growth-SD,ssb,1976,1771.05,421.603
12-CAAL-old-growth-SD,ssb,1977,1852.68,428.003
12-CAAL-old-growth-SD,ssb,1978,2320.86,441.634
12-CAAL-old-growth-SD,ssb,1979,2111.84,401.919
12-CAAL-old-growth-SD,ssb,1980,2006.6,394.066
12-CAAL-old-growth-SD,ssb,1981,2551.81,385.709
12-CAAL-old-growth-SD,ssb,1982,2165.06,346.752
12-CAAL-old-growth-SD,ssb,1983,1674.77,313.891
12-CAAL-old-growth-SD,ssb,1984,1812.74,317.603
12-CAAL-old-growth-SD,ssb,1985,1821.71,314.368
12-CAAL-old-growth-SD,ssb,1986,1648.75,301.138
12-CAAL-old-growth-SD,ssb,1987,1567.11,279.862
12-CAAL-old-growth-SD,ssb,1988,1447.34,297.716
12-CAAL-old-growth-SD,ssb,1989,1439.97,314.929
12-CAAL-old-growth-SD,ssb,1990,1336.66,293.825
12-CAAL-old-growth-SD,ssb,1991,1395.21,303.348
12-CAAL-old-growth-SD,ssb,1992,1526.41,328.887
12-CAAL-old-growth-SD,ssb,1993,1787.41,369.764
12-CAAL-old-growth-SD,ssb,1994,1944.42,409.246
12-CAAL-old-growth-SD,ssb,1995,1687.12,379.299
12-CAAL-old-growth-SD,ssb,1996,1786.85,351.594
12-CAAL-old-growth-SD,ssb,1997,1869.18,351.321
12-CAAL-old-growth-SD,ssb,1998,2136.33,373.456
12-CAAL-old-growth-SD,ssb,1999,2341.26,399.617
12-CAAL-old-growth-SD,ssb,2000,2197.69,418.053
12-CAAL-old-growth-SD,ssb,2001,2445.66,437.83
12-CAAL-old-growth-SD,ssb,2002,2540.26,404.301
12-CAAL-old-growth-SD,ssb,2003,2157.65,344.504
12-CAAL-old-growth-SD,ssb,2004,1703.36,297.489
12-CAAL-old-growth-SD,ssb,2005,1352.9,271.945
12-CAAL-old-growth-SD,ssb,2006,1374.03,277.511
12-CAAL-old-growth-SD,ssb,2007,1521.47,301.889
12-CAAL-old-growth-SD,ssb,2008,1576.44,322.949
12-CAAL-old-growth-SD,ssb,2009,1557.91,327.259
12-CAAL-old-growth-SD,ssb,2010,1668.72,314.564
12-CAAL-old-growth-SD,ssb,2011,1601.67,284.429
12-CAAL-old-growth-SD,ssb,2012,1305.94,245.989
12-CAAL-old-growth-SD,ssb,2013,1073.16,213.255
12-CAAL-old-growth-SD,ssb,2014,1148.5,198.033
12-CAAL-old-growth-SD,ssb,2015,985.957,179.546
12-CAAL-old-growth-SD,ssb,2016,881.701,175.688
12-CAAL-old-growth-SD,ssb,2017,911.752,183.566
12-CAAL-old-growth-SD,ssb,2018,1025.57,202.567
12-CAAL-old-growth-SD,ssb,2019,1010.97,206.843
12-CAAL-old-growth-SD,ssb,2020,931.406,210.947
12-CAAL-old-growth-SD,ssb,2021,887.855,239.283
12-CAAL-old-growth-SD,ssb,2022,1087.54,337.025
